City,State,Professional,Service,Office,Construction,Production
Buffalo,SD,41.1,10.8,14.2,23.4,10.5
Buffalo,WY,32.5,19.7,17.3,22.0,8.4
Buford,GA,28.3,15.1,24.3,11.1,21.2
Buhl,ID,27.5,18.9,11.4,28.4,13.9
Bullhead City,AZ,25.0,25.2,27.4,10.5,12.0
Bullock,NC,23.0,23.6,23.3,9.8,20.3
Buna,TX,24.2,18.4,24.4,17.3,15.7
Buncombe,IL,31.6,20.5,19.2,13.3,15.4
Burbank,SD,39.6,17.7,24.6,8.9,9.1
Burgaw,NC,29.2,17.7,23.8,16.1,13.2
Burley,ID,21.7,17.0,19.3,20.9,21.0
Burlington,VT,47.2,16.9,21.6,6.5,7.8
Burlington,WV,24.8,18.7,24.6,12.9,19.0
Burlington,WY,32.4,17.4,18.1,19.3,12.8
Burlington Junction,MO,28.3,22.8,20.1,10.3,18.5
Burns,TN,28.3,17.5,24.5,12.6,17.0
Burnsville,MS,22.0,14.4,24.5,10.9,28.1
Burton,WV,23.4,21.4,18.7,19.2,17.3
Burwell,NE,82.1,27.5,36.1,34.1,20.200000000000003
Bushnell,NE,31.7,12.8,23.2,12.3,20.0
Bussey,IA,36.1,16.3,21.5,7.3,18.7
Butte,MT,34.5,22.5,21.7,9.8,11.5
Butte,NE,41.2,14.1,14.8,16.5,13.4
Butternut,WI,27.6,20.6,22.2,14.1,15.5
Byhalia,MS,33.6,14.5,25.9,10.2,15.8
Byrdstown,TN,32.0,21.8,19.9,10.6,15.7
Byron,GA,62.9,37.0,44.5,31.0,24.6
Cabins,WV,20.9,17.1,20.9,15.3,25.8
Cadiz,KY,34.1,12.8,23.8,8.2,21.1
Caguas,PR,36.0,18.6,28.8,7.2,9.4
Cairo,IL,20.7,29.2,24.0,7.9,18.2
Cairo,NE,25.7,18.4,22.4,11.1,22.5
Caldwell,OH,26.4,18.7,21.7,10.9,22.3
Caledonia,NY,35.2,17.9,21.9,11.6,13.3
Calhoun,KY,29.6,18.0,24.6,9.3,18.6
Calhoun,MO,28.4,18.1,21.9,15.3,16.3
Calhoun City,MS,23.8,15.2,19.1,13.2,28.6
Caliente,NV,35.9,31.1,15.9,14.6,2.4
Call,TX,21.8,20.8,21.8,17.0,18.7
Calumet,MI,39.1,22.4,20.5,8.5,9.6
Calvin,WV,24.2,18.4,24.5,16.3,16.7
Camarillo,CA,37.2,17.1,24.2,11.3,10.2
Cambria,WI,25.8,17.5,19.3,12.6,24.8
Cambridge,KS,27.4,20.4,21.3,12.5,18.5
Cambridge,NE,27.4,16.4,25.8,13.2,17.2
Cambridge,NY,27.4,19.7,22.2,12.9,17.9
Camden,AR,24.5,17.7,22.6,10.9,24.3
Camden,IL,27.5,18.6,25.7,11.1,17.1
Camden,MO,26.2,17.1,22.6,11.4,22.6
Cameron,MO,30.5,17.2,21.8,10.4,20.2
Camilla,GA,28.4,15.2,23.2,12.3,21.0
Camp Douglas,WI,23.9,21.4,22.0,11.4,21.4
Camp Hill,PA,38.6,15.5,26.5,6.4,13.1
Campbellsburg,IN,25.6,14.3,19.8,12.2,28.1
Campbelltown,PA,29.0,18.4,23.8,10.0,18.7
Campton,KY,29.8,12.0,26.3,14.3,17.5
Campton,NH,42.7,18.8,19.6,8.6,10.3
Camuy,PR,31.8,16.1,28.5,11.9,11.8
