City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Bishop,CA,593384,56.099999999999994,4445.685,938996.6399999999,675,1350,487,1263,164,713,1342,1357,1028,83,101,805,188,1162,280,450,1362,786,188,786
Bismarck,ND,3364944,28.599999999999998,5572.65,3002090.16,229,1069,125,138,33,769,973,50,806,744,102,860,265,680,1236,124,1266,1085,87,1085
Black River,NY,123948,59.7,5216.3200000000015,2720121.12,44,309,29,1304,1007,171,26,49,390,442,221,985,1071,1209,427,581,1057,882,99,882
Black River Falls,WI,460680,62.9,5643.66,1273163.6,843,1056,338,151,173,752,257,585,760,772,480,468,234,194,1241,71,423,687,611,687
Blacksburg,VA,2316600,58.599999999999994,5267.389999999999,2775617.92,466,48,1102,56,502,454,59,1005,667,69,144,6,1141,30,578,589,1103,248,884,248
Blackstone,VA,308176,78.7,3931.04,343578.56,1085,697,905,817,739,460,1367,587,210,1028,862,1065,816,612,70,444,873,476,213,476
Blanchester,OH,399696,99.19999999999999,5751.025000000001,7033129.84,1070,1050,408,906,1025,1142,942,72,688,807,172,200,301,1218,1227,442,566,108,661,108
Blanco,TX,223080,37.6,5077.570000000001,284186.88,1302,833,224,489,833,1332,1340,987,727,417,91,1174,1056,314,1218,1230,1365,425,248,425
Bloomfield,KY,151184,58.6,5499.800000000001,332693.51999999996,1130,476,704,767,912,719,1140,1189,612,1212,918,1251,1030,207,529,79,324,749,918,749
Bloomingdale,MI,94556,73.8,5216.01,1961250.88,467,287,168,1121,1158,1081,1038,1199,843,334,659,485,1142,160,526,1229,959,675,338,675
Blountsville,AL,345136,71.1,5506.920000000001,1349393.04,16,2,262,665,429,580,838,568,488,1175,73,242,1150,373,617,1260,233,683,1244,683
Blue Ridge,TX,143528,62.2,5115.45,806409.84,12,622,1362,377,579,1369,644,544,1286,488,386,789,653,998,519,596,1358,1037,365,1037
Blue Springs,MO,2438260,72.3,4292.14,19837817.92,329,827,1360,59,1196,439,428,1030,1334,194,689,690,1061,1263,505,1291,872,688,257,688
Bogata,TX,105336,67.2,4800.01,285859.83999999997,598,1058,136,166,200,509,237,1013,88,1100,467,331,307,352,548,1296,16,135,218,135
Boise,ID,11068772,53.5,5675.240000000001,168706.0,1364,846,705,944,1122,1233,1327,1340,1186,990,1325,313,589,100,1123,3,1160,198,930,198
Bonesteel,SD,22264,71.8,5387.5599999999995,122107.92,1001,412,982,1172,954,32,1229,1170,1320,1289,25,1177,287,915,129,1363,224,970,616,970
Bonita Springs,FL,2204444,63.5,4494.73,8579550.559999999,53,920,214,277,937,871,1031,623,1232,478,257,954,514,750,1125,6,231,543,994,543
Bonners Ferry,ID,319264,51.7,5621.560000000001,236574.63999999998,91,738,745,102,132,648,1010,677,1299,547,736,1270,793,800,1193,1362,336,292,1109,292
Boone,NC,1432728,75.0,5666.450000000001,1455194.7999999998,857,895,188,971,322,188,1118,678,1290,1208,1072,66,660,1366,1237,10,301,1210,1265,1210
