index,City,State,population,minimum_age_x,minimum_age_y
565,Amory,MS,538120,0.0,80.0
566,Amsterdam,MO,28952,0.0,80.0
567,Amsterdam,NY,1226368,0.0,80.0
568,Amsterdam,OH,94952,0.0,80.0
569,Amston,CT,178024,0.0,80.0
570,Anabel,MO,14388,0.0,80.0
571,Anacoco,LA,199760,0.0,80.0
572,Anaconda,MT,382140,0.0,80.0
573,Anacortes,WA,868384,0.0,80.0
574,Anadarko,OK,412984,0.0,80.0
575,Anaheim,CA,15409372,0.0,80.0
576,Anahola,HI,103400,0.0,80.0
577,Anahuac,TX,214544,0.0,80.0
578,Anaktuvuk Pass,AK,14256,0.0,80.0
579,Anamoose,ND,20064,0.0,80.0
580,Anamosa,IA,370656,0.0,80.0
581,Anasco,PR,1259852,0.0,80.0
582,Anatone,WA,11836,0.0,80.0
583,Anawalt,WV,29304,0.0,80.0
584,Anchor,IL,10120,0.0,80.0
585,Anchor Point,AK,109736,0.0,80.0
586,Anchorage,AK,10570428,0.0,80.0
587,Ancona,IL,9944,0.0,80.0
588,Ancram,NY,50116,0.0,80.0
589,Ancramdale,NY,33440,0.0,80.0
590,Andale,KS,73348,0.0,80.0
591,Andalusia,AL,456412,0.0,80.0
592,Andalusia,IL,55616,0.0,80.0
593,Anderson,AK,9900,0.0,80.0
594,Anderson,AL,97856,0.0,80.0
595,Anderson,CA,987360,0.0,80.0
596,Anderson,IN,3402916,0.0,80.0
597,Anderson,MO,254540,0.0,80.0
598,Anderson,SC,4036032,0.0,80.0
599,Anderson,TX,109560,0.0,80.0
600,Anderson Island,WA,44616,0.0,80.0
601,Andersonville,GA,37884,0.0,80.0
602,Andersonville,TN,196240,0.0,80.0
603,Andes,NY,49676,0.0,80.0
604,Andover,CT,143000,0.0,80.0
605,Andover,IA,4664,0.0,80.0
606,Andover,KS,592504,0.0,80.0
607,Andover,MA,1429692,0.0,80.0
608,Andover,ME,27588,0.0,80.0
609,Andover,MN,2010756,0.0,80.0
610,Andover,NH,93940,0.0,80.0
611,Andover,NJ,400664,0.0,80.0
612,Andover,NY,98208,0.0,80.0
613,Andover,OH,201476,0.0,80.0
614,Andover,SD,10164,0.0,80.0
615,Andreas,PA,56408,0.0,80.0
616,Andrew,IA,18876,0.0,80.0
617,Andrews,IN,99968,0.0,80.0
618,Andrews,NC,228052,0.0,80.0
619,Andrews,SC,480348,0.0,80.0
620,Andrews,TX,642004,0.0,80.0
621,Andrews Air Force Base,MD,130812,0.0,80.0
622,Aneta,ND,19184,0.0,80.0
623,Angel Fire,NM,77264,0.0,80.0
624,Angela,MT,1276,0.0,80.0
625,Angelica,NY,66352,0.0,80.0
626,Angels Camp,CA,226204,0.0,80.0
627,Angelus Oaks,CA,23188,0.0,80.0
628,Angie,LA,276320,0.0,80.0
629,Angier,NC,765908,0.0,80.0
630,Angle Inlet,MN,4180,0.0,80.0
631,Angleton,TX,1317184,0.0,80.0
632,Angola,IN,777788,0.0,80.0
633,Angola,LA,21076,0.0,80.0
634,Angola,NY,427460,0.0,80.0
635,Angoon,AK,20856,0.0,80.0
636,Angora,MN,30228,0.0,80.0
637,Angora,NE,2552,0.0,80.0
638,Anguilla,MS,53020,0.0,80.0
639,Angus,TX,159500,0.0,80.0
640,Angwin,CA,158576,0.0,80.0
641,Aniak,AK,31900,0.0,80.0
642,Animas,NM,38544,0.0,80.0
643,Anita,IA,60148,0.0,80.0
644,Anita,PA,17996,0.0,80.0
645,Aniwa,WI,46332,0.0,80.0
646,Ankeny,IA,936716,0.0,80.0
647,Anmoore,WV,26092,0.0,80.0
648,Ann Arbor,MI,6875572,0.0,80.0
649,Anna,IL,308924,0.0,80.0
650,Anna,OH,186472,0.0,80.0
651,Anna,TX,517880,0.0,80.0
652,Anna Maria,FL,62744,0.0,80.0
653,Annabella,UT,32208,0.0,80.0
