City,State,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Billings,MO,81.4,12.2,6.3,0.1
Billings,MT,82.3,10.6,6.9,0.2
Billingsley,AL,80.3,15.2,4.1,0.5
Binford,ND,70.6,11.1,17.4,0.9
Bingen,WA,70.9,19.7,9.0,0.3
Bird City,KS,60.0,23.8,15.1,1.1
Birdsnest,VA,72.3,17.4,10.2,0.1
Birmingham,AL,80.9,14.4,4.6,0.2
Bisbee,ND,56.5,15.8,26.9,0.8
Bishop,CA,62.4,27.0,10.15,0.45
Bismarck,AR,75.7,18.7,5.6,0.0
Bismarck,ND,76.5,17.9,5.4,0.2
Black River,NY,67.0,26.2,6.7,0.1
Black River Falls,WI,71.9,20.6,7.2,0.3
Blacksburg,SC,83.2,12.9,3.8,0.2
Blacksburg,VA,65.5,30.6,3.8,0.0
Blackstone,VA,62.8,32.5,4.7,0.0
Blackwell,TX,67.4,24.3,8.15,0.15
Blanchard,ID,74.6,13.1,12.2,0.0
Blanchardville,WI,75.2,12.1,12.1,0.6
Blanchester,OH,83.8,10.6,5.4,0.2
Blanco,OK,69.5,24.7,5.8,0.0
Blanco,TX,70.4,17.5,11.8,0.3
Bledsoe,TX,66.6,20.9,12.0,0.4
Bloomery,WV,74.1,17.5,8.2,0.2
Bloomfield,KY,76.7,13.7,9.4,0.2
Bloomingdale,MI,80.6,12.4,6.8,0.2
Bloomington Springs,TN,75.7,15.3,8.6,0.4
Blountsville,AL,82.0,13.5,4.2,0.4
Blue Mound,IL,78.5,13.4,8.0,0.2
Blue Mountain,MS,82.7,11.6,5.6,0.1
Blue Ridge,TX,73.1,19.8,7.1,0.1
Blue River,WI,74.7,16.6,8.0,0.7
Blue Springs,MO,82.7,12.3,4.9,0.1
Blue Springs,NE,73.8,15.9,10.0,0.3
Bluff City,KS,70.4,19.1,10.0,0.6
Bluff Dale,TX,78.6,11.0,9.9,0.5
Bluffton,AR,77.8,13.8,7.4,1.1
Bogart,GA,78.3,15.3,6.0,0.4
Bogata,TX,68.5,17.4,13.8,0.4
Boise,ID,62.7,25.8,11.2,0.3
Bomont,WV,69.1,22.9,7.0,1.0
Bond,CO,81.1,14.6,4.2,0.1
Bonesteel,SD,63.1,17.6,18.6,0.7
Bonita Springs,FL,83.8,8.5,7.4,0.2
Bonners Ferry,ID,71.7,16.8,11.1,0.4
Boone,NC,69.3,22.8,7.3,0.5
Boones Mill,VA,80.1,13.5,6.3,0.2
Boonville,NC,81.2,11.4,7.3,0.0
Boston,GA,74.5,19.1,6.3,0.1
Boston,KY,81.6,13.0,5.3,0.1
Boston,MA,84.4,11.0,4.4,0.1
Boswell,OK,72.3,21.5,6.1,0.1
Boulder,UT,70.8,20.1,8.9,0.3
Bouton,IA,83.7,11.3,4.8,0.2
Boutte,LA,79.8,14.1,6.0,0.1
Bovina,TX,77.6,12.5,9.3,0.5
Bowie,MD,69.1,27.2,3.6,0.1
Bowie,TX,76.25,14.25,9.0,0.5
Bowlegs,OK,72.6,21.2,6.1,0.1
Bowling Green,KY,78.6,16.3,4.9,0.2
Bowling Green,OH,79.3,16.1,4.5,0.1
Bowman,ND,71.6,16.6,11.4,0.3
Box Elder,MT,68.1,25.7,4.6,1.6
Boyertown,PA,86.2,8.1,5.5,0.1
Bozeman,MT,73.2,17.7,8.6,0.4
Bracey,VA,69.6,22.200000000000003,8.05,0.15000000000000002
Brackenridge,PA,86.2,9.3,4.5,0.1
Brackettville,TX,48.7,38.1,13.2,0.0
Bradenton Beach,FL,82.3,11.8,5.5,0.3
Bradford,IL,77.2,12.6,9.0,1.3
Bradford,TN,79.5,12.4,7.9,0.1
Bradgate,IA,70.5,13.9,15.5,0.1
Bradleyville,MO,82.8,8.4,8.8,0.1
Brady,TX,68.1,16.2,14.6,1.1
Braidwood,IL,85.2,11.6,3.1,0.1
Branchville,IN,82.4,11.9,5.4,0.3
Brandon,FL,83.4,12.2,4.3,0.1
Brandy Station,VA,75.1,17.4,7.5,0.1
Brasstown,NC,77.9,13.5,8.2,0.4
Braxton,MS,76.5,19.3,4.1,0.1
Brazil,IN,79.6,13.0,7.1,0.2
Breaux Bridge,LA,81.7,13.7,4.4,0.3
Breckenridge,TX,71.9,16.0,11.9,0.2
Breda,IA,76.6,13.3,9.9,0.2
Breeding,KY,74.8,17.7,7.6,0.0
Bremen,IN,85.2,9.0,5.6,0.2
Bremo Bluff,VA,71.2,20.6,8.1,0.1
Bremond,TX,70.8,20.5,8.4,0.3
Brenham,TX,77.0,14.950000000000001,8.0,0.1
Brewerton,NY,78.3,16.8,4.8,0.1
Briceville,TN,75.9,18.4,5.7,0.1
Bridgeport,WV,75.0,19.3,5.6,0.1
Bridgeton,NJ,75.0,21.1,3.6,0.3
Bridgeville,CA,49.8,29.6,12.7,8.0
Bridgewater Corners,VT,76.7,13.2,10.0,0.2
Brierfield,AL,76.8,16.1,6.7,0.4
Brighton,TN,78.6,16.7,4.6,0.1
Brightwood,VA,68.8,17.6,13.7,0.0
Briscoe,TX,71.1,16.4,12.5,0.0
Bristol,CT,80.7,14.2,4.8,0.2
Bristol,VA,79.65,14.299999999999999,5.9,0.15
Bristol,WI,84.4,11.8,3.6,0.1
Bristow,IA,76.6,11.8,11.0,0.6
Bristow,OK,67.9,24.4,7.3,0.5
Broadus,MT,51.2,23.5,23.2,2.1
Broadview,MT,66.3,13.0,17.9,2.7
Broadview,NM,73.3,22.1,4.7,0.0
Brocket,ND,73.0,18.2,8.5,0.3
Broken Bow,OK,75.1,16.6,8.2,0.2
Bronston,KY,78.8,15.3,5.6,0.3
Bronx,NY,79.9,14.8,5.2,0.1
Brookesmith,TX,75.2,16.5,8.2,0.1
Brookings,SD,75.5,18.6,5.6,0.4
Brooklyn,CT,77.8,16.3,5.5,0.4
Brooklyn,NY,79.1,14.4,6.5,0.1
