City,State,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Brasstown,NC,92.9,3.7,0.0,0.8,0.2,2.4,18.4
Braxton,MS,87.5,8.9,0.1,0.4,0.9,2.3,25.4
Brazil,IN,83.2,8.7,0.5,2.3,1.5,3.8,26.8
Breaux Bridge,LA,82.8,12.8,0.3,1.4,1.4,1.3,27.5
Breckenridge,TX,81.75,11.5,0.3,1.7,1.5,3.3,16.65
Breda,IA,83.6,7.3,0.3,3.3,1.0,4.5,17.9
Breeding,KY,83.0,8.7,2.3,0.4,0.8,4.8,20.8
Bremen,IN,79.7,11.4,0.2,2.9,2.8,3.0,21.8
Bremo Bluff,VA,78.9,14.0,0.1,0.2,0.3,6.4,33.6
Bremond,TX,76.2,13.5,1.7,3.1,2.3,3.2,24.5
Brenham,TX,81.75,11.25,0.2,1.3,1.4,4.15,24.35
Brewerton,NY,79.7,7.9,3.2,4.4,1.3,3.6,20.1
Briceville,TN,87.1,8.0,0.0,1.0,0.9,3.0,22.4
Bridgeport,WV,84.2,8.3,0.6,2.6,1.9,2.4,21.8
Bridgeton,NJ,82.6,10.0,1.8,2.0,2.0,1.6,23.5
Bridgeville,CA,65.3,10.9,1.1,4.9,1.9,15.7,18.0
Bridgewater Corners,VT,76.2,10.5,0.9,4.4,1.0,7.0,22.3
Brierfield,AL,83.2,13.5,0.5,0.6,1.5,0.7,28.8
Brighton,TN,84.8,11.5,0.4,0.7,0.5,2.1,32.4
