City,State,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Burlington Junction,MO,35854.0,1955.0,18307.0,915.0
Burns,TN,44680.0,2703.0,22369.0,1096.0
Burnsville,MS,35143.0,2487.0,18881.0,1090.0
Burton,WV,39096.0,2886.0,21619.0,1507.0
Burwell,NE,51936.5,5597.0,28499.5,2905.5
Bushnell,NE,40242.0,3558.0,24255.0,3454.0
Bussey,IA,54693.0,2857.0,26280.0,1046.0
Butte,MT,37749.0,2340.0,24383.0,1147.0
Butte,NE,40224.0,2377.0,24085.0,2832.0
Butternut,WI,42543.0,2157.0,25435.0,1277.0
Byhalia,MS,58278.0,1553.0,26085.0,585.0
Byrdstown,TN,36773.0,3789.0,20526.0,1973.0
Byron,GA,47429.0,2450.5,22528.5,865.5
Cabins,WV,39088.0,3068.0,20052.0,1487.0
Cadiz,KY,44083.0,4643.0,26001.0,2437.0
Caguas,PR,23769.0,980.0,13486.0,400.0
Cairo,IL,27265.0,3011.0,14729.0,1110.0
Cairo,NE,49252.0,1619.0,23995.0,931.0
Caldwell,OH,40930.0,1885.0,21564.0,883.0
Caledonia,NY,51734.0,1412.0,24142.0,541.0
Calhoun,KY,45989.0,1577.0,23952.0,581.0
Calhoun,MO,42181.0,3047.0,23961.0,1594.0
Calhoun City,MS,31098.0,2601.0,17434.0,858.0
Caliente,NV,44866.0,7245.0,23924.0,7154.0
Call,TX,38144.0,4657.0,20428.0,1716.0
Calumet,MI,37776.0,1703.0,20081.0,679.0
Calvin,WV,39171.0,2676.0,23404.0,2365.0
Camarillo,CA,77348.0,954.0,33435.0,416.0
Cambria,WI,46780.0,1796.0,25466.0,921.0
Cambridge,KS,43860.0,2337.0,21950.0,815.0
Cambridge,NE,54375.0,5435.0,27402.0,2587.0
Cambridge,NY,51143.0,1842.0,24345.0,694.0
Camden,AR,31293.0,2373.0,19810.0,1001.0
Camden,IL,47723.0,3004.0,24077.0,2477.0
Camden,MO,52526.0,2703.0,24101.0,993.0
Cameron,MO,41406.0,3277.0,17125.0,1094.0
Camilla,GA,31915.0,2571.0,15297.0,1008.0
Camp Douglas,WI,44961.0,2192.0,22363.0,717.0
Camp Hill,PA,61820.0,885.0,32398.0,601.0
Campbellsburg,IN,41289.0,2188.0,20483.0,1065.0
Campbelltown,PA,55499.0,1191.0,26526.0,568.0
Campton,KY,22698.0,3375.0,13688.0,1669.0
Campton,NH,55762.0,2055.0,32469.0,1120.0
Camuy,PR,17532.0,1282.0,9234.0,620.0
Canandaigua,NY,57416.0,1353.0,30934.0,986.0
Candor,NC,32593.5,1805.5,18695.0,965.0
Cannelburg,IN,47342.0,1870.0,21101.0,734.0
Cannon Beach,OR,46408.0,2755.0,26294.0,1085.0
Canovanas,PR,20023.0,1322.0,10621.0,609.0
Canton,MO,43909.0,2727.0,20042.0,971.0
Canton,OH,47137.0,723.0,25547.0,366.0
Canton,OK,41972.0,3697.0,19576.0,1346.0
Cantwell,AK,81544.0,6321.0,35315.0,4220.0
Cape Coral,FL,48537.0,713.0,28010.0,435.0
Carey,ID,60088.0,7095.0,34208.0,2258.0
Carlyle,IL,63236.0,2172.0,28839.0,1136.0
Carmel,NY,96148.0,2627.0,41173.0,1050.0
Carolina,PR,27969.0,809.0,15185.0,446.0
Carpenter,IA,48459.0,2871.0,24734.0,1128.0
Carpenter,SD,48217.0,2714.0,28165.0,1613.0
Carrabelle,FL,40401.0,3025.0,20868.0,1833.0
Carrington,ND,55769.0,6819.0,29710.0,1652.0
Carrollton,VA,65741.0,3250.0,31460.0,1250.0
Carson,MS,26279.0,2874.0,15682.0,1392.0
Carson,ND,44559.0,5082.0,32412.0,2835.0
Carson City,NV,47668.0,2495.0,26127.0,1064.0
Cartersville,GA,48893.0,2506.0,22592.0,869.0
