City,State,Employed,Unemployment
Cumberland,KY,8189,9.8
Cumberland Center,ME,152196,5.4
Cumberland Gap,TN,11935,8.2
Currie,MN,4244,4.5
Cushing,IA,3579,3.7
Cushing,OK,14625,7.1
Cushing,WI,21085,6.8
Cusseta,AL,13689,8.9
Cusseta,GA,2204,16.5
Cut Bank,MT,4515,14.4
Cutler,IL,8312,8.0
Cuyahoga Falls,OH,258416,8.4
Cynthiana,IN,12101,5.3
Cypress,FL,15621,13.2
Cypress,IL,4244,10.3
Daggett,MI,10346,8.5
Dahlonega,GA,9787,8.5
Dailey,WV,11833,6.7
Daisy,GA,3979,10.3
Dakota City,IA,4652,4.8
Daleville,AL,39647,18.0
Daleville,MS,32747,9.6
Dalhart,TX,5671,7.699999999999999
Dalton,MA,62596,8.9
Damon,TX,154290,5.4
Dana,IL,51452,9.8
Danville,GA,4365,4.8
Danville,PA,30123,5.7
Danville,VA,16682,12.7
Darlington,IN,17497,6.9
Datto,AR,6283,9.5
Davidson,NC,76079,9.8
Davis,WV,3052,7.6
Dawson Springs,KY,24784,15.399999999999999
Dawsonville,GA,103442,16.2
Dayton,OH,312766,17.0
Dayton,TN,12496,11.1
De Borgia,MT,1527,11.8
De Mossville,KY,6507,6.4
De Queen,AR,7173,9.3
De Smet,SD,2631,2.0
De Soto,WI,7491,6.5
Dearborn,MO,42029,7.5
Deary,ID,18842,7.6
Decatur,AL,51472,9.9
Decatur,TN,3907,15.0
Decorah,IA,19134,9.0
Dedham,MA,358283,6.9
Deer Island,OR,20362,9.8
Deer Lodge,TN,6893,8.5
Deer Park,AL,5656,20.0
Deer Trail,CO,12373,6.7
Deerfield,WI,287151,4.9
Defuniak Springs,FL,25377,7.9
Delcambre,LA,25011,8.5
Delta,CO,16832,10.2
Delta,OH,20872,6.7
Deltona,FL,199287,9.1
Deming,NM,8383,13.8
Denhoff,ND,629,2.0
Denmark,SC,5527,10.9
Dennis,MA,102995,7.0
Denver,CO,348382,6.3
Denver,MO,973,4.3
Denver City,TX,11414,12.1
Depew,OK,29749,5.7
Derry,NH,166354,5.6
Detroit,MI,696900,14.9
Devol,OK,2607,9.2
Dewy Rose,GA,16870,17.0
Dexter,IA,5312,5.4
Dexter,KY,16904,9.1
Dexter,MO,12334,9.1
Diaz,AR,5585,7.9
Dickinson,AL,8161,19.4
Dickinson,ND,16062,2.8
Dilley,TX,6618,5.2
Dillon,CO,18171,4.7
Dingmans Ferry,PA,24320,11.6
Dinwiddie,VA,12653,9.7
