City,population,minimum_age,maximum_age
Avawam,8619,0.0,84.0
Avella,14502,0.0,84.0
Avenal,7128,0.0,84.0
Avenel,7712,0.0,84.0
Avenue,6086,0.0,84.0
Avera,15038,0.0,74.0
Averill,9366,5.0,84.0
Averill Park,9134,0.0,79.0
Avery,22810,0.0,84.0
Avery Island,7501,0.0,79.0
Avila Beach,8935,5.0,79.0
Avilla,12305,0.0,84.0
Avinger,8060,0.0,84.0
Avis,5367,0.0,79.0
Aviston,9908,10.0,84.0
Avoca,79082,0.0,84.0
Avon,112943,0.0,84.0
Avon By The Sea,4124,0.0,84.0
Avon Lake,12898,5.0,84.0
Avon Park,7968,5.0,84.0
Avondale,32654,0.0,84.0
Avondale Estates,10106,0.0,84.0
Avonmore,6314,0.0,84.0
Awendaw,6728,0.0,74.0
Axis,13268,0.0,84.0
Axson,8723,0.0,84.0
Axtell,30750,0.0,84.0
Axton,10128,0.0,84.0
Ayden,9048,0.0,84.0
Aydlett,5183,0.0,84.0
Ayer,5016,0.0,79.0
Aylett,7317,0.0,79.0
Aynor,8111,0.0,84.0
Ayr,15460,0.0,84.0
Ayrshire,6136,0.0,84.0
Azalea,4078,0.0,79.0
Azle,10087,0.0,84.0
Aztec,8098,0.0,84.0
Azusa,4147,0.0,79.0
Babb,7368,10.0,84.0
Babbitt,6753,0.0,84.0
Babcock,10638,0.0,84.0
Babson Park,15563,0.0,84.0
Babylon,6100,5.0,84.0
Backus,8696,0.0,84.0
Bacliff,6119,5.0,84.0
Baconton,8897,0.0,84.0
Bacova,7145,0.0,84.0
Bad Axe,6388,0.0,84.0
Baden,9208,0.0,84.0
Badger,32187,0.0,84.0
Badin,6234,0.0,84.0
Bagdad,22848,0.0,84.0
Baggs,9103,0.0,84.0
Bagley,23338,0.0,84.0
Bagwell,7256,0.0,84.0
Bahama,10477,0.0,84.0
Bailey,40614,0.0,84.0
Bailey Island,11247,0.0,84.0
Baileys Harbor,8122,5.0,84.0
Baileyton,5269,10.0,79.0
Baileyville,31336,0.0,84.0
Bainbridge,34427,0.0,84.0
Bainbridge Island,10739,0.0,79.0
Bainville,9100,0.0,84.0
Baird,9707,0.0,74.0
Bairdford,5832,0.0,84.0
Bairoil,8524,0.0,79.0
Baisden,10092,0.0,84.0
Bajadero,10826,0.0,84.0
Baker,53526,0.0,84.0
Baker City,7653,0.0,84.0
Bakers Mills,8424,0.0,84.0
Bakersfield,94016,0.0,84.0
Bakerstown,9865,0.0,84.0
Bakersville,4495,0.0,84.0
Bala Cynwyd,8645,0.0,84.0
Balaton,9372,0.0,84.0
Bald Knob,7938,0.0,84.0
Baldwin,70978,0.0,84.0
Baldwin City,11994,10.0,79.0
Baldwin Park,6577,0.0,84.0
Baldwin Place,11076,0.0,84.0
Baldwinsville,6151,0.0,79.0
Baldwinville,6415,0.0,79.0
Baldwyn,8550,0.0,79.0
Balfour,7786,0.0,84.0
Balko,9575,0.0,84.0
Ball,6999,0.0,84.0
Ball Ground,7967,0.0,84.0
Ballantine,9800,0.0,84.0
Ballard,5770,0.0,84.0
Ballico,12659,0.0,74.0
Ballinger,8091,5.0,79.0
Ballston Lake,9435,0.0,79.0
Ballston Spa,8921,0.0,79.0
Ballwin,11220,0.0,79.0
Bally,8776,0.0,84.0
Balm,9384,0.0,84.0
Balmorhea,11334,0.0,84.0
Balsam,5906,5.0,84.0
Balsam Grove,4648,0.0,84.0
Balsam Lake,9496,0.0,79.0
Baltic,24499,0.0,84.0
Baltimore,240641,0.0,84.0
Bamberg,5999,0.0,84.0
Banco,7718,0.0,84.0
Bancroft,47706,0.0,84.0
Bandana,10334,0.0,84.0
Bandera,8291,0.0,84.0
