City,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Cameron,76.1,14.8,9.0,0.1
Camilla,72.5,18.5,7.9,1.1
Camp Douglas,77.3,16.3,6.1,0.4
Camp Hill,79.0,16.0,4.9,0.2
Campbellsburg,83.8,9.7,6.4,0.1
Campbelltown,81.0,12.3,6.4,0.2
Campton,69.85,22.8,7.0,0.35
Camuy,66.5,23.9,9.3,0.2
Canandaigua,79.1,15.1,5.7,0.1
Candor,76.95,17.05,5.75,0.25
Cannelburg,79.5,13.7,6.3,0.5
Cannon Beach,74.9,15.9,8.9,0.3
Canovanas,70.8,21.2,7.9,0.0
Canton,76.4,14.966666666666667,8.166666666666666,0.5
Cantwell,66.4,24.5,7.9,1.2
Cape Coral,82.8,10.6,6.4,0.2
Carey,73.2,14.0,12.6,0.2
Carlyle,79.1,14.7,6.1,0.1
Carmel,76.0,17.6,6.1,0.3
Carolina,69.0,22.0,8.9,0.1
Carpenter,70.2,16.95,12.15,0.7
Carrabelle,58.9,26.1,14.9,0.1
Carrington,69.6,12.9,16.3,1.1
Carrollton,74.4,19.9,5.5,0.2
Carson,67.65,14.100000000000001,17.549999999999997,0.75
Carson City,70.3,24.5,4.9,0.2
Cartersville,74.8,18.8,6.3,0.05
Carthage,71.20000000000002,21.15,7.175,0.45
Cartwright,75.8,13.1,10.9,0.2
Cascade Locks,79.0,13.3,7.7,0.0
Casco,82.3,8.8,8.7,0.2
Cassatt,77.1,17.5,5.2,0.2
Castalia,77.0,16.5,6.4,0.1
Castell,66.0,11.6,21.8,0.6
Castleford,80.1,12.1,7.5,0.3
Cataldo,79.7,12.1,8.0,0.3
Cataula,76.9,17.6,5.5,0.0
Catoosa,81.2,13.1,5.5,0.2
Cave City,77.1,15.9,6.9,0.2
Cayce,76.1,18.4,5.3,0.2
Cayey,66.3,23.1,10.7,0.0
Cayuga,82.3,10.6,6.7,0.4
Cecil,74.9,17.5,7.6,0.0
Cedar Bluff,76.7,18.2,5.1,0.0
Cedar Falls,81.1,12.2,6.6,0.2
Cedar Valley,83.1,12.3,4.4,0.2
Ceiba,65.4,20.7,14.0,0.0
Centenary,81.3,13.9,4.8,0.0
Center,68.6,18.25,12.85,0.25
Center Harbor,74.1,16.5,9.2,0.2
Centerview,70.5,22.9,6.2,0.3
Centerville,76.73333333333333,14.5,8.6,0.16666666666666666
Central,76.2,18.2,5.6,0.1
Central Bridge,67.3,23.8,8.4,0.5
Central City,80.3,14.2,5.5,0.0
Centralia,78.7,15.4,5.9,0.0
Centreville,72.9,21.5,5.4,0.1
Ceres,78.9,14.2,6.8,0.2
Ceresco,75.6,15.6,8.4,0.4
Chadwick,78.1,12.0,9.8,0.1
Challis,65.7,20.9,12.4,1.1
Chamberlain,66.4,16.3,15.4,1.9
Chambers,59.1,16.8,22.7,1.4
Chapel Hill,67.7,25.5,6.6,0.2
Chapin,73.6,22.1,4.3,0.1
Chapmansboro,76.0,14.5,9.2,0.3
Chapmanville,77.8,17.8,4.4,0.0
Chappell,69.6,17.7,12.7,0.0
Charleston,78.06666666666666,16.0,5.766666666666667,0.20000000000000004
Charlo,65.3,22.4,11.8,0.5
Charlottesville,68.1,25.8,6.0,0.0
Chase,71.8,16.3,11.6,0.3
Chateaugay,62.5,28.9,8.3,0.2
Chatfield,82.3,11.4,6.0,0.3
Cherokee,72.6,19.1,8.175,0.075
Cherryvale,70.1,18.9,10.8,0.2
Chesapeake,73.1,22.6,4.2,0.1
Chester,76.36666666666666,14.966666666666669,8.166666666666666,0.5333333333333333
Chester Gap,74.0,18.9,6.8,0.3
Chesterland,82.0,9.6,8.1,0.2
Cheyenne,67.6,27.7,4.5,0.2
Cheyenne Wells,57.1,26.0,16.6,0.3
Chicopee,79.5,15.1,5.2,0.1
Chicora,84.9,10.0,4.9,0.1
Chiefland,70.9,18.7,10.3,0.1
Chili,75.8,9.0,14.7,0.6
Chillicothe,69.94999999999999,21.25,8.6,0.25
Chilton,86.0,9.5,4.3,0.2
Christiana,80.6,13.4,5.8,0.1
Christmas Valley,59.4,27.8,11.5,1.3
Church Hill,79.8,12.6,7.6,0.0
Ciales,58.5,35.8,5.8,0.0
Cibolo,77.0,17.9,4.8,0.3
Cidra,70.6,20.8,8.7,0.0
Cincinnati,84.8,10.4,4.7,0.1
Cincinnatus,72.7,20.6,6.5,0.2
Cisco,76.4,15.1,7.8,0.7
Claremont,73.65,16.1,10.149999999999999,0.15000000000000002
Clarence,76.65,14.8,8.350000000000001,0.2
Clarendon,56.4,29.8,13.7,0.0
Clark,66.9,12.8,18.7,1.5
Clarks Mills,82.8,11.0,6.0,0.2
Clarksdale,77.5,16.3,6.1,0.0
Clarkson,74.0,14.6,10.2,1.1
Clarkston,76.9,16.6,6.5,0.0
