City,Employed,Unemployment
Defuniak Springs,25377,7.9
Delcambre,25011,8.5
Delta,37704,16.9
Deltona,199287,9.1
Deming,8383,13.8
Denhoff,629,2.0
Denmark,5527,10.9
Dennis,102995,7.0
Denver,349355,10.6
Denver City,11414,12.1
Depew,29749,5.7
Derry,166354,5.6
Detroit,696900,14.9
Devol,2607,9.2
Dewy Rose,16870,17.0
Dexter,34550,23.6
Diaz,5585,7.9
Dickinson,24223,22.2
Dilley,6618,5.2
Dillon,18171,4.7
Dingmans Ferry,24320,11.6
Dinwiddie,12653,9.7
Disputanta,2551,6.9
Divide,11501,8.2
Dixfield,25041,9.2
Dixon Springs,3376,10.5
Dodge,23009,8.399999999999999
Dodson,7494,19.7
Dolliver,4955,4.6
Donaldsonville,55380,6.4
Donnelly,4292,5.7
Doon,5968,2.4
Dorado,42008,38.4
Doswell,52677,4.4
Dothan,50989,16.4
Douglas,15358,8.3
Douglass,27638,8.6
Douglasville,61844,10.5
Dove Creek,801,4.6
Dover,82535,12.0
Dow City,8192,4.8
Downsville,8096,7.7
Doyle,9769,10.5
Doylesburg,71278,6.9
Drakes Branch,4523,7.3
Drewsey,2901,16.1
Driscoll,1337,0.9
Drummond,6859,7.2
Dry Branch,2581,6.7
Dryden,415,3.7
Du Bois,4000,3.4
Duck Hill,3608,8.5
Dudley,16926,6.6
Duke Center,18277,9.1
Dulce,15272,11.4
Duluth,96700,6.9
Dumont,2406,3.3
Dundee,8706,20.3
Dunellen,402766,7.5
Dunn Center,2078,4.3
Dunning,287,0.7
Dupree,948,27.4
Durand,3618,4.6
Durango,337,13.8
Durant,5301,19.2
Durham,145135,6.8
Dustin,4546,7.1
Dutch John,222,4.3
Eagle,199955,6.6
Eagle Pass,20309,13.1
Eagle River,16557,6.3
Earle,27476,18.5
Earling,6153,2.9
East Concord,441369,7.0
East Jordan,11793,7.8
East Nassau,80144,7.6
East Peoria,64883,5.5
East Prairie,4945,12.2
East Stone Gap,13736,11.0
Eastsound,7633,5.9
Eastview,46001,8.2
Eaton,5199,9.8
Eatonton,9448,6.3
Eau Claire,31085,5.1
Ebro,8307,11.5
Echola,87695,7.6
Eckert,11362,11.7
Edelstein,85639,8.7
Edgartown,8849,5.2
Edgemont,6828,9.3
Edgerton,4716,3.7
Edgewood,5348,11.2
Edinburg,3694,3.5
Edison,16096,7.0
Edon,17119,7.1
Edson,2992,4.0
Egegik,657,9.8
Ekalaka,606,2.3
El Cerrito,509920,8.8
El Paso,328885,14.100000000000001
El Reno,63025,4.5
Eldorado,2638,12.799999999999999
Eldridge,83140,5.4
Electra,4239,3.0
Electric City,38314,10.1
Elfrida,43776,8.7
Elgin,263236,13.3
Elizabeth,8269,8.9
Elizabeth City,21502,19.4
Elk City,14514,8.7
Elk Horn,13403,12.2
Elk Park,6873,6.9
Elkhart,91085,7.4
Elkton,39563,12.2
Ellabell,14224,9.0
Ellaville,1964,12.4
Ellenboro,43486,20.799999999999997
Ellendale,90239,8.0
Ellinger,11669,1.8
Elliott,6712,3.2
Elliottville,10022,6.5
Ellsinore,2402,9.7
Ellsworth,8415,6.9
Ellwood City,39340,7.0
Elm City,34701,10.1
Elm Creek,12312,4.8
Elmendorf,824123,7.4
Elmira,38219,5.4
Elmo,4188,5.7
Eltopia,36259,7.2
Ely,3529,10.6
Emmetsburg,4637,2.9
Emory,4468,7.9
Empire,14891,10.100000000000001
Emporia,2074,19.1
Encampment,7851,4.3
Enders,2073,0.7
Endicott,7698,9.6
Energy,5338,4.5
Enfield,25821,22.9
Engadine,4470,12.5
Englewood,160951,5.5
Englishtown,307183,7.9
Enigma,6457,13.8
Ennice,4365,10.5
Enochs,3191,4.3
Enola,57108,6.6
Enterprise,13010,29.5
Epping,16193,1.7
Epps,3967,16.9
Epworth,8669,12.0
Equality,2280,7.5
Erbacon,8225,29.200000000000003
Erick,9611,2.9
Ericson,992,3.5
Erie,7816,4.7
Erlanger,79447,7.7
Escalante,3201,7.0
Esom Hill,16190,10.2
Essex,412199,6.9
Essig,13583,3.2
Ethan,1673,1.1
Ettrick,15166,3.6
Eudora,11609,23.3
Eufaula,6944,10.8
Eupora,3544,11.2
Eutaw,2412,20.4
Evans,11050,6.8
Evansville,113739,10.600000000000001
Evant,22684,9.5
Everson,98265,8.2
Everton,3307,7.9
Ewing,7942,12.0
Fairbanks,46661,7.9
Fairbury,15954,6.3
Fairfax,12724,5.4
Fairfield,13414,13.2
Fairmont,53478,10.5
Fairplay,8822,5.6
Fairview,3518,5.4
Faith,1490,4.5
Falfurrias,2416,19.8
Fall Branch,57193,6.2
Fallon,9274,11.9
Falls Church,7347,4.2
Falmouth,6096,11.0
Fannin,2962,9.3
Fanwood,267803,9.8
Farber,10600,8.8
Faribault,33503,5.6
Farina,8943,10.4
Farmersville,9604,5.4
Farmington,51561,9.2
Farmland,11319,7.8
Farnsworth,5081,5.2
Federalsburg,30660,19.200000000000003
Felt,5342,8.5
Ferdinand,10060,5.6
Fernandina Beach,31605,9.8
Fernley,19958,13.6
Fernwood,3600,10.1
Ferriday,7078,11.7
Fertile,15978,4.6
Festus,8313,5.4
Fieldton,5709,6.2
Firebaugh,374564,13.2
Fischer,54190,4.9
Fish Camp,7329,11.6
Flandreau,3379,6.1
Flemington,12978,9.5
Fletcher,9124,12.2
Flintville,14232,7.6
Florence,60238,19.3
Florida,5392,17.1
Fluker,53685,10.7
Flushing,161750,13.2
Folkston,4705,13.8
Fond Du Lac,52846,5.3
Fontana Dam,2947,11.1
Ford,16259,9.4
Forest,6433,4.8
Forest City,49295,26.099999999999998
Forest Hill,4857,10.0
Foristell,23857,9.5
Forrest City,2910,17.3
Fort Bragg,36848,12.2
Fort Buchanan,37469,12.4
Fort Collins,164011,6.7
Fort Davis,1074,7.1
Fort Johnson,24116,9.3
Fort Lauderdale,890997,10.0
Fort Morgan,13264,6.2
Fort Pierce,112310,12.4
Fort Plain,21683,8.9
Fort Scott,6541,3.3
Fort Stewart,23102,12.9
Fort Valley,24833,17.0
Fort Wayne,170294,8.0
Fortine,6844,13.1
Fortuna,58449,10.5
Fouke,18429,9.6
Fountain,392286,35.9
Fountaintown,21379,8.3
Fowler,34537,9.6
Francis,17465,6.2
Frankfort,15003,7.3
Franklin,210512,68.30000000000001
Frankston,30441,7.8
Frazer,3753,2.6
Frederick,127105,5.8
Fredericksburg,26923,17.5
Fredonia,3607,9.8
Fremont,778132,8.3
French Village,25384,8.3
Friendly,3296,10.9
Frisco,387884,5.7
Fritch,10714,4.1
Frost,7117,4.2
Fulda,10431,6.9
Funk,4641,1.7
Gackle,2073,1.9
Gadsden,41236,9.0
Gainesville,116659,7.9
Galax,2842,6.4
Galena,20993,18.0
Galloway,18617,5.9
Gallup,22865,15.5
Galt,5996,5.7
Galva,6018,3.7
Garden,15510,9.2
Garden City,1778,2.2
Gardiner,7782,5.4
Garfield,3035,10.3
Garland,1213492,13.899999999999999
Garyville,19661,9.2
Gasquet,8612,11.5
Gastonia,91563,11.2
Gates,9099,13.4
Gatzke,4726,4.7
Gaylesville,10155,7.9
Genesee,25624,13.0
Geneseo,2787,4.3
Genoa,1784,3.2
Genoa City,52048,7.2
Georgetown,22756,11.2
Georgiana,6551,20.7
Gepp,4498,7.6
Gettysburg,788,1.7
Gibbon,7867,5.5
Gilbertown,4405,13.6
Gillette,26387,4.0
Gillsville,7801,8.5
Gilman,10966,15.0
Gilman City,3755,5.8
Girard,5482,9.8
Girvin,6447,4.8
Gladeville,59107,6.5
Glen Allan,17034,21.7
Glencoe,36780,6.3
Glennallen,4415,10.7
Glenrock,7303,5.1
Glenwood,4975,14.3
Gloster,2914,9.7
Glyndon,33104,4.3
Goessel,5820,5.0
Goetzville,14733,11.7
Gold Creek,2629,2.2
Golden City,5075,6.5
Golden Valley,4391,3.2
Goldfield,437,11.9
Goldsboro,50821,12.4
Good Hope,14279,9.4
Goodhue,23662,5.3
Goodlettsville,31579,8.4
Goodview,35756,5.8
Goose Creek,84494,9.9
Gordo,6712,13.8
Gordon,3287,7.3
Gordonsville,15024,7.9
Goshen,181440,11.399999999999999
