City,Hispanic,White,Black,Native,Asian,Pacific
Brooks,1.6,95.3,0.5,0.2,0.5,0.1
Brooksville,11.3,80.5,5.1,0.1,1.1,0.0
Brookville,0.8,97.5,0.5,0.2,0.3,0.1
Broomfield,15.1,78.8,1.0,0.5,2.5,0.0
Browns Valley,2.0,91.5,0.5,3.4,0.0,0.0
Brownsville,88.5,10.1,0.4,0.1,0.6,0.0
Brownton,5.3,92.4,0.4,0.2,0.6,0.0
Brunswick,3.3,77.30000000000001,15.75,1.7000000000000002,0.7000000000000001,0.0
Brusly,2.7,57.5,37.7,0.2,0.6,0.0
Brutus,1.3,92.4,0.7,2.0,0.4,0.0
Bryan,24.4,57.6,10.4,0.1,5.7,0.0
Buchanan,9.866666666666667,73.9,11.066666666666668,0.16666666666666666,2.766666666666667,0.0
Buckatunna,1.4,58.5,39.0,0.2,0.1,0.0
Buckhannon,1.1,96.4,1.1,0.1,0.2,0.2
Buckholts,25.0,63.7,8.3,0.2,0.6,0.0
Buena Vista,5.75,87.15,1.55,0.35,3.6999999999999997,0.0
Buffalo,2.4333333333333336,94.66666666666667,0.26666666666666666,0.7666666666666666,0.26666666666666666,0.0
Buford,27.1,62.3,7.3,0.2,1.7,0.0
Buhl,28.8,68.4,0.1,1.2,0.6,0.0
Bullhead City,15.6,78.2,1.0,1.7,1.1,0.1
Bullock,7.1,41.2,49.3,0.3,0.5,0.0
Buna,6.5,74.5,16.3,0.4,0.4,0.0
Buncombe,5.0,91.7,1.2,0.1,0.4,0.0
Burbank,2.5,88.8,1.5,2.9,2.1,0.0
Burgaw,6.3,74.2,17.1,0.3,0.2,0.1
Burley,33.4,64.0,0.1,0.8,0.4,0.1
Burlington,3.966666666666667,90.76666666666665,1.7999999999999998,0.43333333333333335,1.3,0.03333333333333333
Burlington Junction,1.5,93.0,2.7,0.3,1.6,0.1
Burns,3.2,90.1,3.9,0.2,0.5,0.0
Burnsville,2.7,93.4,2.6,0.4,0.2,0.0
Burton,0.6,97.8,0.1,0.0,0.5,0.0
Burwell,0.25,94.95,0.35,0.75,0.1,0.0
