City,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Bristow,79.5,10.7,0.35,3.1500000000000004,1.8,4.55,25.549999999999997
Broadus,59.2,7.7,0.0,9.6,3.0,20.6,15.5
Broadview,78.1,9.15,0.15,3.4000000000000004,1.45,7.75,23.6
Brocket,81.6,6.2,0.5,4.0,1.8,5.9,12.5
Broken Bow,79.8,14.2,0.5,1.5,1.7,2.3,22.3
Bronston,84.9,9.9,0.3,1.7,1.3,1.9,19.9
Bronx,22.5,4.7,59.7,8.0,1.8,3.3,43.0
Brookesmith,87.3,9.4,0.4,0.7,0.5,1.6,17.4
Brookings,75.3,9.6,0.4,6.6,3.1,5.0,14.1
Brooklyn,50.75,6.55,31.150000000000002,6.15,1.65,3.7,33.85
Brooks,86.4,9.2,0.4,0.8,0.7,2.6,27.5
Brooksville,83.3,9.2,0.1,1.0,1.3,5.0,29.1
Brookville,82.1,9.7,0.4,4.1,0.9,2.8,22.9
Broomfield,78.7,8.0,3.2,1.5,1.6,7.0,27.0
Browns Valley,75.8,8.3,0.1,4.3,1.2,10.2,16.0
Brownsville,83.1,10.5,0.7,1.6,1.8,2.2,19.9
Brownton,82.7,8.9,0.3,2.9,1.5,3.7,22.8
Brunswick,87.55000000000001,7.25,0.4,1.1,0.7,3.05,25.75
Brusly,88.8,7.7,0.3,0.7,1.2,1.3,24.0
Brutus,79.8,11.0,0.8,1.8,1.2,5.4,26.1
Bryan,76.3,12.0,2.7,3.6,2.6,2.9,17.7
Buchanan,76.26666666666667,7.733333333333334,7.466666666666668,3.1666666666666665,1.3,4.066666666666666,28.100000000000005
Buckatunna,81.2,8.5,0.8,1.6,2.7,5.1,28.2
Buckhannon,81.0,9.5,0.2,3.6,1.7,4.0,25.6
Buckholts,75.8,15.8,0.2,1.1,2.6,4.6,26.4
Buena Vista,76.9,6.699999999999999,0.1,5.6,4.25,6.5,15.35
Buffalo,63.366666666666674,16.2,0.19999999999999998,3.6333333333333333,2.533333333333333,14.066666666666665,27.433333333333337
Buford,79.5,13.3,0.3,0.9,2.1,3.9,26.0
Buhl,75.6,10.3,0.1,6.5,1.8,5.7,18.7
Bullhead City,78.1,14.2,0.5,1.9,2.5,2.8,19.3
Bullock,85.2,10.4,0.1,2.1,0.3,1.8,22.4
Buna,78.8,14.7,0.2,1.1,2.2,3.0,29.7
Buncombe,81.9,9.4,0.7,1.8,1.0,5.2,24.2
Burbank,68.6,8.5,0.4,12.5,4.0,5.9,15.0
Burgaw,78.5,14.4,0.1,1.1,1.6,4.3,28.1
Burley,82.9,12.4,0.1,1.5,0.9,2.3,16.5
Burlington,75.46666666666667,12.066666666666668,0.8666666666666667,5.266666666666667,2.0,4.3,21.23333333333333
Burlington Junction,76.6,10.6,0.2,7.5,1.3,3.9,15.9
Burns,81.3,12.0,0.7,2.8,1.0,2.2,31.3
Burnsville,87.2,8.6,0.4,1.3,1.1,1.4,22.1
Burton,85.4,8.7,0.0,3.1,0.6,2.2,29.0
Burwell,65.94999999999999,8.1,0.55,6.6000000000000005,0.85,18.0,18.1
Bushnell,74.9,10.8,0.3,8.8,0.5,4.7,14.3
Bussey,79.2,8.5,0.4,4.3,1.8,5.8,20.2
Butte,73.05000000000001,9.100000000000001,0.2,5.65,2.1,9.9,15.9
Butternut,78.9,11.9,0.2,3.2,1.1,4.7,22.0
Byhalia,87.9,8.1,0.1,0.4,0.7,2.7,24.6
Byrdstown,85.9,10.4,0.0,1.0,0.0,2.7,25.2
Byron,83.0,11.399999999999999,0.9500000000000001,1.75,1.15,1.75,21.5
Cabins,82.9,10.2,0.3,2.6,0.3,3.8,27.2
Cadiz,82.8,10.0,0.0,3.9,0.7,2.6,26.5
Caguas,80.2,11.9,1.2,2.8,2.1,1.9,32.8
Cairo,81.4,11.9,1.6,1.85,1.5,1.75,20.6
Caldwell,87.4,6.9,0.4,1.5,0.4,3.4,23.2
Caledonia,81.4,6.9,0.5,6.4,1.5,3.3,25.2
Calhoun,84.94999999999999,9.1,0.15,1.7,1.15,2.9,20.2
Calhoun City,83.0,12.0,0.6,1.1,1.4,1.8,24.1
Caliente,73.1,12.0,0.0,8.3,0.0,6.6,20.1
Call,84.3,10.6,0.0,0.1,3.4,1.5,36.1
Calumet,72.1,11.3,0.9,10.2,1.6,3.9,14.9
Calvin,90.0,5.0,0.4,0.7,1.9,2.0,26.9
Camarillo,77.1,12.6,1.3,1.9,1.7,5.5,25.8
Cambria,78.7,8.8,0.4,4.5,2.1,5.5,23.0
Cambridge,78.96666666666665,10.4,0.3,3.733333333333333,1.7666666666666666,4.833333333333333,20.633333333333336
Camden,82.10000000000001,11.133333333333333,0.7999999999999999,2.1999999999999997,0.7666666666666666,3.0333333333333337,26.0
Cameron,80.0,12.6,0.7,1.6,1.3,3.7,25.8
Camilla,73.6,19.1,0.3,3.0,1.2,2.9,22.1
Camp Douglas,79.9,11.3,0.7,2.8,1.3,3.9,23.4
Camp Hill,82.4,8.3,0.7,3.9,1.0,3.8,21.6
Campbellsburg,82.3,11.5,0.1,0.8,0.7,4.4,31.5
Campbelltown,80.1,10.1,0.6,4.1,1.2,3.9,23.2
