City,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Cost,42983.0,2287.0,21185.0,1155.0
Cotopaxi,40423.0,1747.0,18619.0,1076.0
Cotter,35396.0,2040.0,22475.0,1522.0
Cotton Center,43375.0,2063.0,17910.0,1108.0
Cottonwood Falls,38707.0,4490.0,23459.0,2491.0
Cotulla,37292.0,7064.0,22127.0,7153.0
Couch,29851.0,1988.0,17070.0,947.0
Coulee City,53636.0,2812.0,23598.0,920.0
Council,39565.0,3928.0,21219.0,2099.0
Coupeville,58815.0,2402.0,31836.0,945.0
Courtland,36555.0,1963.0,19525.0,1632.0
Cove City,47985.0,1451.0,24553.0,659.0
Covington,46327.5,2756.0,22931.333333333332,1482.8333333333333
Coxsackie,50278.0,2034.0,26261.0,1140.0
Coy,23750.0,3287.0,14170.0,1183.0
Crab Orchard,42002.5,2989.5,21629.0,1416.5
Craigsville,29942.0,1952.0,19742.0,1555.0
Craigville,48188.0,2880.0,21274.0,1016.0
Crane,51461.0,5386.5,23373.5,1871.0
Crawford,50739.0,4298.0,26257.0,1489.0
Crawfordsville,51144.0,3292.0,26176.0,2334.0
Crawfordville,29516.5,2609.0,16598.5,1446.5
Crayne,35316.0,3742.0,21248.0,1552.0
Crenshaw,24583.0,2364.0,14503.0,1261.0
Creole,64231.0,4778.0,29679.0,2874.0
Cresco,57365.0,2071.0,25022.0,628.0
Crestline,40795.0,1178.0,22499.0,1113.0
Creston,41851.5,3401.5,23073.5,2209.5
Creswell,32361.0,3395.0,16268.0,2468.0
Cromwell,40189.0,2883.0,19254.0,1236.0
Crook,42319.0,3162.0,23916.0,1509.0
Cropwell,51859.0,1549.0,24168.0,894.0
Crossville,38192.0,1360.0,18411.0,588.0
Crowell,38485.0,7403.5,21497.5,2614.5
Crowley,58135.0,1678.0,25310.0,696.0
Crown Point,50135.0,639.0,24756.0,368.0
Crystal Spring,48311.0,2562.0,23435.0,687.0
Crystal Springs,35130.0,2141.0,17762.0,1081.0
Cub Run,34774.0,2799.0,18993.0,1789.0
Cuba,46083.0,1993.0,22651.0,662.0
Culbertson,36102.5,3699.0,19667.0,1296.0
Culebra,18649.0,3197.0,9333.0,1328.0
Cullman,38971.0,1526.0,20881.0,727.0
Cumberland,25814.0,1880.0,15840.0,704.0
Cumberland Center,60051.0,1201.0,34081.0,739.0
Cumberland Gap,34899.0,1875.0,18817.0,825.0
Currie,51983.0,2190.0,28976.0,990.0
Cushing,47618.666666666664,1814.3333333333333,25973.333333333332,1139.0
Cusseta,38777.5,3019.0,20279.0,1414.0
Cut Bank,29640.0,2762.0,16892.0,1709.0
Cutler,42478.0,3273.0,21720.0,1789.0
Cuyahoga Falls,50765.0,662.0,28986.0,356.0
Cynthiana,58101.0,3434.0,29821.0,1846.0
Cypress,38692.5,2110.5,18605.0,1147.0
Daggett,40373.0,1379.0,23233.0,872.0
