City,Professional,Service,Office,Construction,Production
Chapmanville,26.3,19.7,21.1,20.3,12.5
Chappell,29.5,14.5,29.3,8.2,18.5
Charleston,106.4,54.900000000000006,75.5,25.099999999999998,38.0
Charlo,34.1,20.8,20.5,14.3,10.2
Charlottesville,49.5,22.6,18.4,4.4,5.1
Chase,28.0,14.3,26.9,20.1,10.6
Chateaugay,31.8,27.0,20.4,9.6,11.2
Chatfield,32.8,18.3,22.9,7.5,18.6
Cherokee,104.2,74.0,85.1,54.4,82.19999999999999
Cherryvale,32.6,19.2,15.6,12.5,20.1
Chesapeake,39.1,15.3,25.2,9.7,10.7
Chester,96.10000000000001,55.5,64.5,36.1,47.8
Chester Gap,32.7,18.2,22.1,16.2,10.7
Chesterland,40.3,14.1,23.5,10.6,11.4
Cheyenne,37.2,16.0,23.9,11.4,11.6
Cheyenne Wells,38.8,12.2,18.6,18.3,12.0
Chicopee,33.5,21.1,25.1,7.6,12.7
Chicora,27.4,18.3,22.1,13.8,18.5
Chiefland,25.1,22.4,23.2,17.7,11.6
Chili,28.6,15.0,17.1,13.9,25.4
Chillicothe,61.0,39.099999999999994,38.0,27.7,34.1
Chilton,33.8,12.3,25.2,8.7,20.0
Christiana,34.6,15.1,26.7,8.3,15.3
Christmas Valley,29.8,23.5,15.2,21.2,10.3
Church Hill,25.8,17.5,21.9,12.6,22.2
Ciales,29.6,24.3,19.4,11.1,15.7
Cibolo,34.4,16.1,25.0,10.0,14.6
Cidra,31.2,16.1,28.3,10.5,13.9
Cincinnati,40.1,18.3,24.7,5.7,11.2
Cincinnatus,33.3,20.3,23.7,9.0,13.7
Cisco,30.7,20.6,20.9,12.0,15.8
Claremont,62.5,29.1,44.5,26.9,37.0
Clarence,71.7,34.5,41.4,23.9,28.4
Clarendon,32.9,24.9,16.5,14.1,11.6
Clark,38.9,14.7,18.2,16.8,11.4
Clarks Mills,30.4,20.4,23.5,8.4,17.4
Clarksdale,31.9,18.3,24.2,10.8,14.9
Clarkson,28.9,20.3,17.1,13.1,20.4
Clarkston,30.3,20.2,25.7,10.6,13.2
Clay City,25.3,15.8,20.4,11.9,26.5
Clayton,170.9,96.5,115.3,64.39999999999999,53.1
Cle Elum,32.2,22.2,22.0,11.2,12.4
Clearbrook,26.9,19.3,17.1,19.6,17.2
Cleveland,129.3,72.7,98.19999999999999,41.199999999999996,58.49999999999999
Clifford,28.5,20.5,25.3,10.4,15.3
Clifton,62.1,32.900000000000006,49.400000000000006,29.799999999999997,25.9
Clifton Forge,29.0,18.5,17.4,14.2,21.0
Clinton,24.2,21.6,17.8,20.1,16.3
Clio,26.8,16.1,23.1,10.8,23.1
Cloquet,30.9,23.3,20.1,10.2,15.5
Clover,36.2,15.4,26.9,8.0,13.5
Cloverdale,25.5,18.7,20.4,16.0,19.4
Cluster Springs,26.6,20.8,22.6,10.5,19.4
Coahoma,28.4,20.2,21.6,14.3,15.5
Coal City,28.9,17.6,24.0,12.7,16.7
Coalgate,31.5,14.4,22.0,19.5,12.6
Coamo,29.2,20.1,22.7,13.8,14.1
Coats,34.3,17.5,20.4,15.7,12.1
Coatsville,30.5,13.0,23.5,15.4,17.6
Coeburn,27.1,22.1,22.3,17.7,10.8
Coffeeville,25.4,15.6,23.9,8.9,26.3
Colby,33.0,19.3,23.7,13.4,10.5
Cold Brook,32.3,19.7,24.1,10.1,13.7
Coldwater,28.9,18.0,22.7,12.0,18.5
Colebrook,31.1,22.4,21.8,11.5,13.2
Coleman,64.5,35.900000000000006,45.2,23.1,31.200000000000003
Collierville,32.4,14.5,25.0,12.4,15.7
Collins,29.6,20.5,23.4,16.0,10.5
Collinston,24.6,20.5,23.4,13.4,18.0
Collison,25.7,20.3,21.6,9.3,23.1
Colonial Heights,35.6,20.0,25.4,9.2,9.9
Colorado City,30.5,20.3,17.3,19.1,12.9
Colt,23.7,21.4,24.1,10.8,20.0
Columbia,65.2,44.599999999999994,46.7,21.0,22.4
Columbia City,26.2,14.6,21.9,8.7,28.6
Columbia Falls,33.3,18.1,25.8,12.9,10.0
