City,Mean,Stdev,Median
Belvedere,48706.0,41119.0,39549.0
Belvidere,61822.5,44013.5,112744.0
Belview,37221.5,24640.0,31914.5
Belzoni,35156.0,29251.0,27269.0
Bement,67819.5,52303.0,54305.5
Bemidji,60607.25,39713.0,55046.5
Ben Bolt,81261.0,72605.0,66295.0
Ben Lomond,83248.0,62426.0,66165.33333333333
Bena,48840.0,37547.0,167342.5
Bend,64329.42857142857,47044.71428571428,87141.42857142857
Bendersville,75663.0,59224.5,181151.5
Benicia,89735.66666666667,52404.333333333336,148597.0
Benjamin,45731.0,39944.0,35319.5
Benkelman,59577.0,54263.0,42902.0
Bennet,93771.0,66898.0,77128.0
Bennett,70645.0,49831.666666666664,59107.333333333336
Bennettsville,46838.0,34961.0,39493.0
Bennington,55777.0,42081.0,45293.75
Benoit,23921.0,22445.0,19262.0
Bensalem,67818.6,48524.2,107074.0
Bensenville,77847.5,60510.0,182811.0
Benson,60824.666666666664,45059.333333333336,131643.0
Bentleyville,62646.333333333336,49336.333333333336,51514.666666666664
Benton,58729.0,42506.72727272727,71365.90909090909
Benton City,76520.5,48213.0,187601.5
Benton Harbor,29720.25,22848.75,22817.75
Bentonia,28333.0,3696.0,300000.0
Bentonville,88334.33333333333,46379.666666666664,154319.66666666666
Benzonia,50498.5,40592.0,40235.5
Berea,60276.0,41417.25,110712.25
Beresford,65526.0,48386.0,52848.0
Bergenfield,90998.66666666667,60657.0,160277.0
Bergholz,61463.0,43239.0,71351.0
Berkeley,87586.71428571429,61871.42857142857,93956.07142857143
Berkeley Hts,156657.0,77658.0,165438.0
Berkeley Lake,66969.0,59223.0,44528.0
Berkeley Springs,62284.0,55008.0,40677.0
Berkley,72531.0,52188.5,66125.0
Berlin,70497.7,54047.8,59382.1
Bermuda Dunes,77483.0,64261.5,61564.0
Bernalillo,71192.0,53476.0,65870.0
Bernard,62414.0,39634.0,55109.0
Bernardston,73433.0,45100.0,66948.0
Bernardsville,134879.0,80716.0,120693.0
Berne,37924.0,23761.0,37991.0
Bernie,60836.0,44047.0,51092.0
Bernville,68053.0,45086.5,60210.0
Berrien Springs,60076.0,36526.0,56489.0
Berry,54116.0,54325.0,32380.0
Berry Creek,52817.0,46973.0,37075.0
Berryville,71456.66666666667,61138.333333333336,55122.333333333336
Berthoud,96932.5,66207.5,86088.0
Berwick,59083.2,43465.2,101928.8
Berwyn,89944.83333333333,58370.5,165851.66666666666
Berwyn Heights,88635.0,54122.5,83693.5
Beryl,69042.0,61470.0,53976.5
Bessemer,53115.333333333336,39759.666666666664,99908.22222222222
Bessemer City,49269.0,39204.0,41252.0
Bethalto,74164.5,47215.5,64077.0
Bethany,68475.85714285714,46221.142857142855,86920.57142857143
Bethel,74759.5,53599.833333333336,100408.33333333333
Bethel Park,87627.6,59501.6,120850.8
Bethesda,160056.8,79014.3,218528.3
Bethlehem,66342.5,46149.875,131244.8125
Bethpage,96750.8,59363.0,200203.6
Bethune,43753.0,25512.0,40224.0
Betsy Layne,45246.0,36646.0,32396.0
Bettendorf,92486.0,56128.0,208722.0
Bettsville,63990.0,43167.0,172087.0
Beulaville,51912.0,59078.0,34938.0
Beverly,85510.6,65746.8,110277.8
Beverly Hills,108849.875,73136.125,103402.625
Bexley,124349.0,92514.0,110140.0
Bicknell,63607.0,32643.0,300000.0
Biddeford,74229.66666666667,50905.666666666664,136211.33333333334
Biddle,67435.0,28563.0,300000.0
Bieber,54602.0,32641.0,300000.0
Big Bay,72972.0,68023.0,48589.0
Big Bear Lake,57474.0,53582.0,47816.0
Big Bend,56896.5,39785.5,45706.0
Big Creek,91840.0,48267.0,300000.0
Big Flats,76579.0,42277.0,300000.0
Big Lake,74574.5,47366.0,66618.5
Big Rapids,44033.0,35809.0,31234.0
Big Rock,0.0,0.0,0.0
Big Sandy,53931.0,47964.0,42900.0
Big Spring,65292.666666666664,51461.0,48141.666666666664
Big Stone City,53519.0,38321.5,51403.5
Big Timber,61894.0,50702.0,50294.0
Bigfork,67725.5,52044.0,56552.5
Billerica,108409.0,63601.666666666664,104211.33333333333
Billings,55707.916666666664,38548.416666666664,89123.41666666667
Biloxi,52263.125,40949.25,74818.5
Binger,47944.0,43360.0,33059.0
Binghamton,49756.53846153846,36387.153846153844,78947.76923076923
Birch River,43067.0,32412.0,38804.0
Birch Run,58585.0,48966.0,42829.0
Birchwood,73294.66666666667,52816.333333333336,63126.333333333336
Bird Island,55555.0,48016.0,43506.0
Birdsboro,75694.0,54820.666666666664,62800.333333333336
Birmingham,54848.35897435898,38959.743589743586,57379.61538461538
Bishop,87984.0,56512.0,78839.0
Bishopville,55455.0,45138.0,45853.0
Bismarck,56427.25,37583.625,74188.75
Bixby,96586.0,64500.5,81741.0
Blachly,59446.0,36452.0,57533.0
Black Diamond,101556.5,73077.5,78633.0
Black Earth,100887.0,63723.0,85216.0
Black River,91861.0,39816.5,179950.5
Black River Falls,51554.0,41376.0,41979.0
Blackey,21435.0,21219.0,16430.0
Blackfoot,62447.0,44919.0,131174.33333333334
Blacksburg,48607.4,48259.6,29092.8
Blackshear,55367.0,40241.0,48649.0
Blackstone,54073.0,40068.0,39944.0
Blacksville,64306.0,43417.0,54193.0
Blackwell,53270.0,48039.0,35860.0
Blackwood,97140.0,66956.0,203387.5
Bladenboro,44886.5,38839.5,32643.0
Bladensburg,55610.333333333336,46830.666666666664,41934.333333333336
Blaine,67168.33333333333,46882.555555555555,57354.666666666664
Blair,51225.333333333336,38660.0,36410.333333333336
Blairs,47603.0,35729.0,35071.0
Blairstown,103456.0,54728.0,300000.0
Blairsville,53577.0,42822.666666666664,127157.0
Blakely,35042.0,28357.0,25098.0
Blanchard,74274.0,52281.0,300000.0
Blanchester,74492.0,42863.0,64467.0
Blanco,69478.0,58323.0,44979.0
Bland,56961.0,40611.333333333336,48801.333333333336
Blandon,80440.5,49938.0,189309.0
Blasdell,64622.0,40650.0,59795.0
Blauvelt,121606.66666666667,77883.66666666667,162618.66666666666
Bledsoe,34891.0,25924.0,27311.0
Blessing,28652.0,27090.0,21174.0
Blissfield,59975.0,40694.0,50484.0
Block Island,76518.0,37282.0,300000.0
Blocksburg,24830.0,14770.0,300000.0
Bloomdale,55352.5,43534.0,44286.0
Bloomer,64125.0,41062.0,61378.0
Bloomfield,75956.76470588235,53219.0,117074.29411764706
Bloomfield Hills,135910.5,80415.5,123833.25
